"Invoice","Facture","POS Receipt"
"Credit Note","Avoir","POS Receipt"
"Draft","Brouillon","POS Receipt"
"Cancelled","Annulée","POS Receipt"
"Tel.","Tél.","POS Receipt"
"Tax ID","NIF","POS Receipt"
"No.","N°","POS Receipt"
"Date","Date","POS Receipt"
"Return of","Retour de","POS Receipt"
"Cashier","Caissier","POS Receipt"
"Customer","Client","POS Receipt"
"Item","Article","POS Receipt"
"Amount","Montant","POS Receipt"
"Free","Gratuit","POS Receipt"
"Discount","Remise","POS Receipt"
"Serial No","N° de série","POS Receipt"
"Batch","Lot","POS Receipt"
"Items: {0}","Articles : {0}","POS Receipt"
"Subtotal","Sous-total","POS Receipt"
"Rounding","Arrondi","POS Receipt"
"Total","Total","POS Receipt"
"Refund Total","Total remboursé","POS Receipt"
"Refunded","Remboursé","POS Receipt"
"Paid","Payé","POS Receipt"
"Change","Monnaie rendue","POS Receipt"
"Balance Due","Reste à payer","POS Receipt"
"Thank you for your business!","Merci de votre confiance !","POS Receipt"
"Offline, pending sync","Hors ligne, en attente de synchronisation","POS Receipt"
